,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,377,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,424,0,0,0,0,1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,596,0,0,1511,0,0,0,0,0,0,0,1078,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,996,0,1326,0,0,0,0,0,3026,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,1385,0,1035,0,0,2282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,2316,0,0,609,0,0,1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,2120,0,0,0,0,0,0,0,0,0,3664,0,0,0,0,0,0
7,0,0,0,0,0,921,1984,0,1956,0,0,0,0,0,0,3022,0,0,0,0,0,0,0,0
8,0,0,0,0,1490,0,0,1989,0,1699,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,2016,0,4371,0,0,0,2397,3765,2306,0,0,0,0,0,0,0
10,0,0,0,1803,0,0,0,0,0,2158,0,1981,0,1770,0,0,0,0,0,0,0,0,0,0
11,0,0,1544,0,0,0,0,0,0,0,1446,0,5664,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,3010,0,0,0,0,0,0,0,0,0,0,0,2653
13,0,0,0,0,0,0,0,0,0,0,1310,0,0,0,2772,0,0,0,0,0,0,0,986,0
14,0,0,0,0,0,0,0,0,0,2026,0,0,0,1172,0,0,0,0,1299,0,0,2322,0,0
15,0,0,0,0,0,0,0,1601,0,2915,0,0,0,0,0,0,2017,2956,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,1588,0,0,0,0,0,1676,0,0,2887,0,0,0,0,0
17,0,0,0,0,0,0,2693,0,0,0,0,0,0,0,0,2499,0,0,0,3996,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858,0,2159,0,0,1253,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3054,1183,0,1755,1071,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,0,1743,0,3427
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1647,0,0,0,0,1013,1086,0,2935,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,1332,0,0,0,0,0,0,0,1282,0,1414
23,0,0,0,0,0,0,0,0,0,0,0,0,2229,0,0,0,0,0,0,0,2305,0,1243,0
